cell_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
colony-21395,4,0,5,5,0,5,8,0,0,8,0,6,0,2,0,-1,-1,-1,0,0,6,8,3,0,-1,-1,-1,0,4,1,8,7,8,0,0,1,-1,-1,-1,4,0,8,0,0,8,8,2,0
colony-21396,-1,-1,-1,-1,-1,-1,8,0,0,8,0,0,8,0,5,0,2,1,-1,-1,-1,8,3,0,8,0,1,3,0,1,-1,-1,-1,-1,-1,-1,7,4,0,4,0,3,4,0,8,8,0,0
colony-21397,4,0,5,-1,-1,-1,8,0,0,8,0,0,0,5,5,-1,-1,-1,0,0,6,8,3,1,0,8,1,8,0,1,8,8,8,0,8,1,7,0,5,4,4,3,8,8,8,8,0,0
colony-21398,4,0,5,-1,-1,-1,8,0,0,8,0,6,0,2,0,-1,-1,-1,0,0,6,8,3,0,1,0,8,0,0,1,8,7,8,-1,-1,-1,7,7,0,4,0,8,0,0,8,8,2,0
colony-21399,4,8,5,5,2,5,8,3,8,8,4,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,8,3,8,8,0,1,7,0,1,4,0,5,-1,-1,-1,8,8,0
colony-21400,4,0,5,-1,-1,-1,-1,-1,-1,8,4,0,-1,-1,-1,0,2,8,-1,-1,-1,8,3,8,0,0,1,0,0,1,8,3,8,0,0,1,0,0,6,4,0,5,2,7,8,8,0,0
colony-21401,4,0,5,-1,-1,-1,8,0,1,8,0,0,0,0,2,5,2,8,0,2,6,8,3,0,0,0,1,0,0,1,8,7,8,-1,-1,-1,7,0,0,4,8,8,5,5,8,8,5,0
colony-21402,4,2,5,-1,-1,-1,8,0,0,8,0,0,1,5,3,0,2,8,0,0,6,-1,-1,-1,0,0,1,0,0,1,8,7,8,-1,-1,-1,7,0,4,4,0,8,0,0,8,8,0,0
colony-21403,4,0,5,-1,-1,-1,8,3,8,8,4,0,7,0,0,-1,-1,-1,-1,-1,-1,8,3,0,0,0,1,0,0,1,-1,-1,-1,0,0,1,7,0,1,4,0,5,2,7,8,-1,-1,-1
colony-21404,4,3,5,5,0,5,-1,-1,-1,0,2,0,1,0,8,0,2,8,-1,-1,-1,-1,-1,-1,3,8,1,0,0,1,8,0,1,6,8,1,7,4,1,4,0,2,3,2,8,0,0,0
colony-21406,4,0,5,5,0,5,8,0,0,8,0,6,0,2,0,-1,-1,-1,0,0,6,8,3,0,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,8,0,0,8,-1,-1,-1
colony-21408,-1,-1,-1,5,8,5,0,4,0,3,0,5,0,0,8,-1,-1,-1,8,8,6,-1,-1,-1,3,4,1,3,7,1,8,0,5,-1,-1,-1,7,4,0,4,0,2,8,2,8,0,0,0
colony-21410,0,0,1,-1,-1,-1,0,0,0,7,0,1,0,4,5,-1,-1,-1,0,3,1,0,0,0,-1,-1,-1,0,5,1,-1,-1,-1,0,4,0,7,0,0,-1,-1,-1,1,5,8,-1,-1,-1
colony-21412,4,0,5,5,0,5,8,0,0,8,0,0,0,0,0,0,2,8,0,8,6,8,3,0,0,0,1,0,0,1,8,7,8,-1,-1,-1,7,0,0,4,8,5,5,5,8,8,8,0
